证券代码,证券简称,综合评级,年度,综合得分,E评级,E得分,S评级,S得分,G评级,G得分
000736.SZ,中交地产,BB,2009,78.42,CC,63.44,A,85.16,BB,76.97
000737.SZ,北方铜业,B,2009,70.93,C,55.88,CC,63.77,BBB,83.46
000738.SZ,航发控制,CCC,2009,68.66,C,55.88,C,59.92,BBB,81.08
000739.SZ,普洛药业,BB,2009,76.89,CC,63.26,BB,75.16,A,85.01
000750.SZ,国海证券,CCC,2009,67.62,C,57.78,C,58.33,BB,78.8
000751.SZ,锌业股份,CCC,2009,69.66,C,59.19,CC,62.8,BB,79.62
000752.SZ,*ST西发,B,2009,73.11,C,57.61,B,73.4,BBB,80.82
000753.SZ,漳州发展,BBB,2009,80.9,CCC,67.82,AAA,100,BBB,80.23
000755.SZ,山西路桥,B,2009,74.7,CCC,65.74,CCC,68.83,BBB,83.24
000756.SZ,新华制药,B,2009,72.92,C,59.4,CCC,68.74,BBB,82.64
000757.SZ,浩物股份,CC,2009,61.96,C,51.14,C,58.2,B,70.02
000758.SZ,中色股份,BB,2009,75.38,C,56.94,BBB,80.92,BBB,80.15
000759.SZ,中百集团,BB,2009,79.82,C,59.31,AAA,100,BBB,81.96
000761.SZ,本钢板材,B,2009,73.25,C,59.25,CC,62.8,A,87.45
000762.SZ,西藏矿业,B,2009,74.35,C,50.88,BB,75.77,BBB,84.61
000766.SZ,通化金马,CCC,2009,65.99,C,47.5,C,57.74,BBB,81
000767.SZ,晋控电力,CCC,2009,68.47,C,57.84,CC,60.36,BB,78.35
000768.SZ,中航西飞,BB,2009,77.67,CCC,65.02,B,72.26,A,87.78
000776.SZ,广发证券,BB,2009,77.54,C,59.69,B,74.86,A,87.93
000777.SZ,中核科技,CCC,2009,69.37,C,47.73,CC,62.45,A,85.09
000778.SZ,新兴铸管,BBB,2009,81.7,B,70.67,BB,79.3,A,88.95
000779.SZ,甘咨询,CCC,2009,69.73,C,52.87,CCC,66.35,BBB,80.62
000782.SZ,美达股份,CCC,2009,67.53,C,51.41,CC,63.27,BB,78.62
000783.SZ,长江证券,BBB,2009,84.44,CCC,68.24,BBB,83.78,AA,92.63
000785.SZ,居然之家,B,2009,70.71,C,49.66,AAA,95.12,B,71.7
000786.SZ,北新建材,BB,2009,77.53,CCC,67.32,BB,75.25,BBB,84.28
000788.SZ,北大医药,B,2009,72.88,CC,60.98,CC,63.77,A,85.09
000789.SZ,万年青,B,2009,74.41,C,57.67,B,73.4,BBB,83.63
000790.SZ,华神科技,B,2009,73.16,C,57.61,B,73.31,BBB,81
000791.SZ,甘肃电投,B,2009,71.1,CCC,68.63,C,53.37,BBB,82.78
000792.SZ,盐湖股份,CCC,2009,66.07,C,58.71,B,73.96,CC,64.5
000793.SZ,华闻集团,BBB,2009,83.17,CCC,68.39,BB,79.48,AA,93.67
000795.SZ,英洛华,CCC,2009,69.92,C,53.96,B,70.32,BB,77.8
000796.SZ,ST凯撒,CC,2009,64.99,C,48.17,CC,62.98,BB,76.94
000797.SZ,中国武夷,BB,2009,75.83,CC,64.28,BB,76.24,BB,79.24
000798.SZ,中水渔业,B,2009,71.26,CC,63.12,C,58.31,AA,92.27
000799.SZ,酒鬼酒,CCC,2009,68.78,C,52.87,BB,75.89,B,72.1
000800.SZ,一汽解放,BB,2009,78.37,CC,64.48,CCC,69.55,AA,91.41
000801.SZ,四川九洲,CCC,2009,68.27,C,51.14,C,58.2,BBB,83.81
000802.SZ,北京文化,BB,2009,76.23,CC,61.21,B,73.07,A,86.33
000803.SZ,山高环能,CCC,2009,69.44,C,55.49,CC,63.13,BBB,80.82
000806.SZ,*ST银河,CCC,2009,67.48,C,56.54,C,59.92,BB,78.16
000807.SZ,云铝股份,BB,2009,77.11,CC,62.22,B,70.32,A,89.29
000809.SZ,ST新城,B,2009,70.99,C,51.36,CC,64.11,BBB,84.4
